month,Cerrada,En trámite,Total,Acciones
2017-05,0.0,1.0,1.0,1
2017-06,5.0,0.0,5.0,15
2017-07,1.0,0.0,1.0,20
2017-09,1.0,0.0,1.0,3
2017-10,2.0,0.0,2.0,7
2017-11,2.0,0.0,2.0,7
2018-01,4.0,0.0,4.0,22
2018-02,3.0,0.0,3.0,13
2018-03,2.0,0.0,2.0,11
2018-04,1.0,0.0,1.0,6
2018-05,5.0,0.0,5.0,16
2018-06,5.0,2.0,7.0,28
2018-08,2.0,0.0,2.0,21
2018-09,3.0,0.0,3.0,23
2018-10,1.0,1.0,2.0,13
2018-11,1.0,0.0,1.0,15
2019-01,2.0,0.0,2.0,19
2019-02,0.0,1.0,1.0,6
2019-03,1.0,2.0,3.0,16
2019-04,2.0,2.0,4.0,15
2019-05,1.0,4.0,5.0,26
2019-06,0.0,1.0,1.0,26
2019-07,1.0,0.0,1.0,14
2019-08,0.0,2.0,2.0,15
2019-09,0.0,2.0,2.0,11
2019-10,0.0,2.0,2.0,14
2019-11,0.0,1.0,1.0,21
2019-12,0.0,3.0,3.0,19
2020-01,0.0,2.0,2.0,21
2020-02,0.0,2.0,2.0,19
2020-03,0.0,4.0,4.0,14
