month,Cerrada,En trámite,Total
2017-05,0.0,1.0,1.0
2017-06,5.0,0.0,5.0
2017-07,1.0,0.0,1.0
2017-09,1.0,0.0,1.0
2017-10,2.0,0.0,2.0
2017-11,2.0,0.0,2.0
2018-01,4.0,0.0,4.0
2018-02,3.0,0.0,3.0
2018-03,2.0,0.0,2.0
2018-04,1.0,0.0,1.0
2018-05,5.0,0.0,5.0
2018-06,5.0,2.0,7.0
2018-08,2.0,0.0,2.0
2018-09,3.0,0.0,3.0
2018-10,1.0,1.0,2.0
2018-11,1.0,0.0,1.0
2019-01,2.0,0.0,2.0
2019-02,1.0,0.0,1.0
2019-03,1.0,2.0,3.0
2019-04,2.0,2.0,4.0
2019-05,1.0,4.0,5.0
2019-06,0.0,1.0,1.0
2019-07,1.0,0.0,1.0
2019-08,0.0,2.0,2.0
2019-09,0.0,2.0,2.0
2019-10,0.0,2.0,2.0
2019-11,0.0,1.0,1.0
2019-12,0.0,3.0,3.0
2020-01,0.0,2.0,2.0
2020-02,0.0,2.0,2.0
2020-03,0.0,4.0,4.0
2020-06,0.0,5.0,5.0
2020-07,0.0,1.0,1.0
2020-09,0.0,1.0,1.0
