office,Cerrada,En trámite,Total
Presidencia de la República,3.0,6.0,9.0
Ministerio de Hacienda,3.0,4.0,7.0
Universidad de El Salvador,5.0,1.0,6.0
Ministerio de Relaciones Exteriores,6.0,0.0,6.0
Asamblea Legislativa,3.0,3.0,6.0
Ministerio de Educación,3.0,1.0,4.0
Ministerio de Salud,0.0,3.0,3.0
Ministerio de Justicia y Seguridad Pública,0.0,3.0,3.0
Comisión Ejecutiva Portuaria Autonóma,2.0,1.0,3.0
Fiscalía General de la República ,2.0,1.0,3.0
Corte Suprema de Justicia,1.0,1.0,2.0
Policía Nacional Civil,2.0,0.0,2.0
Ministerio de la Defensa Nacional,0.0,2.0,2.0
Alcaldía de San Salvador,1.0,1.0,2.0
Alcaldía Municipal de San Marcos,2.0,0.0,2.0
Dirección General de Centros Penales ,1.0,1.0,2.0
Ministerio de Medio Ambiente y Recursos Naturales,1.0,0.0,1.0
Alcadía de Zacatecoluca,1.0,0.0,1.0
Ministerio de Trabajo y Previsión Social,1.0,0.0,1.0
Procuraduría General de la República,0.0,1.0,1.0
Tribunal Supremo Electoral,1.0,0.0,1.0
Ministerio de Vivienda,0.0,1.0,1.0
Instituto Salvadoreño de Desarrollo Municipal ,0.0,1.0,1.0
Ministerio de Economía,0.0,1.0,1.0
Ministerio de Agricultura y Ganadería,0.0,1.0,1.0
Instituto de Acceso a la Información Pública,0.0,1.0,1.0
Alcaldía Municipal de Panchimalco,1.0,0.0,1.0
Fondo Ambiental de El Salvador,0.0,1.0,1.0
Corte de Cuentas de la República,1.0,0.0,1.0
Banco de Desarrollo de El Salvador ,0.0,1.0,1.0
Banco Central de Reserva,0.0,1.0,1.0
Alcaldía de Soyapango,1.0,0.0,1.0
Alcaldía de Santa Tecla,1.0,0.0,1.0
Alcaldía de San Vicente,1.0,0.0,1.0
Alcaldía de Apopa,1.0,0.0,1.0
Alcaldía de Antiguo Cuscatlán,1.0,0.0,1.0
Alcaldía Puerto de la Libertad,1.0,0.0,1.0
Viceministerio de Transporte,0.0,1.0,1.0
