date,overview,office,reviewer,status,result,actions,url
2020-01-06,Procesos sancionatorios contra Presidencia por información de la OIE,Presidencia de la República,Instituto de Acceso a la Información Pública,En trámite,No definido,2,https://alac.funde.org/complains/5e15f9d00634d8e44d8354a9
2020-01-16,Denuncia contra fiscal de Ahuachapán por infracciones a la LEG,Fiscalía General de la República ,Tribunal de Ética Gubernamental,En trámite,No definido,1,https://alac.funde.org/complains/5e20a1040634d8e44d85ceb6
2020-02-13,Denuncia Ética por conflicto de intereses y beneficios indebidos  en contra de Osiris Luna Meza.,Ministerio de Justicia y Seguridad Pública,Tribunal de Ética Gubernamental,En trámite,No definido,3,https://alac.funde.org/complains/5e45b3100634d8e44d8b53f1
2020-02-13,Denuncia Ética por uso indebido de los fondos públicos y por prevalecerse del cargo para hacer política partidista por Navib Bukele,Presidencia de la República,Tribunal de Ética Gubernamental,En trámite,No definido,1,https://alac.funde.org/complains/5e45b7df0634d8e44d8b5948
2020-03-04,Registros de la ejecución mensual del gasto por clasificación presupuestaria de 2007 a 2019.,Ministerio de Hacienda,Instituto de Acceso a la Información Pública,En trámite,No definido,2,https://alac.funde.org/complains/5e5fd40f0634d8e44d903f62
2020-03-06,Contrato de licitación por el servicio de vídeo vigilancia entre la empresa EyeTech Solutions y la Alcaldía S.S 2020.,Alcaldía de San Salvador,Instituto de Acceso a la Información Pública,En trámite,No definido,5,https://alac.funde.org/complains/5e66a670148c2104adee4666
2020-03-06,Registro aplicado con cargo al objeto específico de gastos asignados a la OIE del presupuesto 2020.,Presidencia de la República,Instituto de Acceso a la Información Pública,En trámite,No definido,10,https://alac.funde.org/complains/5e66b9f1148c2104adee5c94
2020-03-10,"Denuncia Ética contra Mario Ponce, Presidente de la Asamblea Legislativa-oficina de información",Asamblea Legislativa,Tribunal de Ética Gubernamental,En trámite,No definido,1,https://alac.funde.org/complains/5e6810f4148c2104adeeb8c8
2020-06-22,Denuncia contra Ministro de Salud por transgresión a LEG,Ministerio de Salud,Tribunal de Ética Gubernamental,En trámite,No definido,2,https://alac.funde.org/complains/5ef282f7a30f9895d611e1dd
2020-06-24,"Denuncia contra ex presidente de FONAES Sr. Jorge Aguilar ""Koky Aguilar"" por transgreción a la LEG",Fondo Ambiental de El Salvador,Tribunal de Ética Gubernamental,En trámite,No definido,2,https://alac.funde.org/complains/5ef3bb14a30f9895d612120f
2020-07-09,"Escrito de Nulidad contra la convocatoria emitida por el MINED para elección de terna de comisionados propietarios del IAIP, 2020",Ministerio de Educación,Ministerio de Educación,En trámite,No definido,1,https://alac.funde.org/complains/5f076276a30f9895d61668cf
