date,office,title,detail,url
2020-01-09,Ministerio de Hacienda,Presupuesto aprobado y votado de 2020,Petición creada,https://alac.funde.org/requests/5e178c640634d8e44d841e1d
2020-01-09,Ministerio de Hacienda,Presupuesto aprobado y votado de 2020,Solicitud enviada,https://alac.funde.org/requests/5e178c640634d8e44d841e1d
2020-01-09,Asamblea Legislativa,Proceso de contratación en la Asamblea ,Petición creada,https://alac.funde.org/requests/5e17ab7a0634d8e44d842bcb
2020-01-09,Asamblea Legislativa,Proceso de contratación en la Asamblea ,Solicitud enviada,https://alac.funde.org/requests/5e17ab7a0634d8e44d842bcb
2020-01-09,Asamblea Legislativa,Personal contratado por la AL asignada a la fracción del partido GANA,Solicitud enviada,https://alac.funde.org/requests/5e17ac150634d8e44d842c2c
2020-01-09,Asamblea Legislativa,Personal contratado por la AL asignada a la fracción del partido GANA,Petición creada,https://alac.funde.org/requests/5e17ac150634d8e44d842c2c
2020-01-14,Ministerio de Hacienda,Presupuesto aprobado y votado de 2020,Admisión. UAIP_RES_018_1_2020. Fecha de respuesta 23/01/20,https://alac.funde.org/requests/5e178c640634d8e44d841e1d
2020-01-14,Ministerio de Hacienda,Registros de la ejecución mensual del gasto por clasificación presupuestaria de los ejercicios fiscales de 2007 a 2019.,Petición enviada,https://alac.funde.org/requests/5e1e41db0634d8e44d855a37
2020-01-14,Ministerio de Hacienda,Registros de la ejecución mensual del gasto por clasificación presupuestaria de los ejercicios fiscales de 2007 a 2019.,Petición creada,https://alac.funde.org/requests/5e1e41db0634d8e44d855a37
2020-01-14,Asamblea Legislativa,Proceso de contratación en la Asamblea ,"Se comunicó con el oficial de información del ente, y manifestó que desde el 23 de diciembre/19 no se están recibiendo solicitudes de información, en en el cual consultó a la unidad técnica, quien le manifestó que por el momento hay problemas técnicos con el correo institucional.  ",https://alac.funde.org/requests/5e17ab7a0634d8e44d842bcb
2020-01-14,Asamblea Legislativa,Personal contratado por la AL asignada a la fracción del partido GANA,"Se comunicó con el oficial de información del ente, y manifestó que desde el 23 de diciembre/19 no se están recibiendo solicitudes de información, en en el cual consultó a la unidad técnica, quien le manifestó que por el momento hay problemas técnicos con el correo institucional.  ",https://alac.funde.org/requests/5e17ac150634d8e44d842c2c
2020-01-15,Ministerio de Hacienda,Registros de la ejecución mensual del gasto por clasificación presupuestaria de los ejercicios fiscales de 2007 a 2019.,Admisión. UAIP/RES.0022.1/2020. Fecha de respuesta 12/02/20.,https://alac.funde.org/requests/5e1e41db0634d8e44d855a37
2020-01-15,Ministerio de Hacienda,Registros de la ejecución mensual del gasto por clasificación presupuestaria de los ejercicios fiscales de 2007 a 2019.,Solicitud recibida. MH-2020-022. ,https://alac.funde.org/requests/5e1e41db0634d8e44d855a37
