month,closed,openned,total
2017-08,23.0,0.0,23.0
2017-09,24.0,0.0,24.0
2017-10,22.0,0.0,22.0
2017-11,17.0,0.0,17.0
2017-12,56.0,0.0,56.0
2018-01,46.0,3.0,49.0
2018-02,48.0,0.0,48.0
2018-03,61.0,0.0,61.0
2018-04,44.0,3.0,47.0
2018-05,56.0,0.0,56.0
2018-06,73.0,3.0,76.0
2018-07,38.0,13.0,51.0
2018-08,54.0,20.0,74.0
2018-09,34.0,15.0,49.0
2018-10,61.0,22.0,83.0
2018-11,61.0,13.0,74.0
2018-12,19.0,3.0,22.0
2019-01,19.0,13.0,32.0
2019-02,14.0,12.0,26.0
2019-03,47.0,23.0,70.0
2019-04,55.0,17.0,72.0
2019-05,36.0,17.0,53.0
2019-06,20.0,4.0,24.0
2019-07,18.0,34.0,52.0
2019-08,38.0,11.0,49.0
2019-09,87.0,21.0,108.0
2019-10,74.0,137.0,211.0
2019-11,65.0,106.0,171.0
2019-12,35.0,10.0,45.0
2020-01,11.0,27.0,38.0
2020-02,10.0,16.0,26.0
2020-03,4.0,31.0,35.0
2020-04,61.0,155.0,216.0
2020-05,140.0,58.0,198.0
2020-06,185.0,64.0,249.0
