"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,70,"SLV","El Salvador",1,"Ahuachapán",1,"Ahuachapán","Municipio","Municipality",NA,NA
2,70,"SLV","El Salvador",1,"Ahuachapán",2,"Apaneca","Municipio","Municipality",NA,NA
3,70,"SLV","El Salvador",1,"Ahuachapán",3,"Atiquizaya","Municipio","Municipality",NA,NA
4,70,"SLV","El Salvador",1,"Ahuachapán",4,"Concepción de Ataco","Municipio","Municipality",NA,NA
5,70,"SLV","El Salvador",1,"Ahuachapán",5,"El Refugio","Municipio","Municipality",NA,NA
6,70,"SLV","El Salvador",1,"Ahuachapán",6,"Guaymango","Municipio","Municipality",NA,NA
7,70,"SLV","El Salvador",1,"Ahuachapán",7,"Jujutla","Municipio","Municipality",NA,NA
8,70,"SLV","El Salvador",1,"Ahuachapán",8,"San Francisco Menéndez","Municipio","Municipality",NA,NA
9,70,"SLV","El Salvador",1,"Ahuachapán",9,"San Lorenzo","Municipio","Municipality",NA,NA
10,70,"SLV","El Salvador",1,"Ahuachapán",10,"San Pedro Puxtla","Municipio","Municipality",NA,NA
11,70,"SLV","El Salvador",1,"Ahuachapán",11,"Tacuba","Municipio","Municipality",NA,NA
12,70,"SLV","El Salvador",1,"Ahuachapán",12,"Turín","Municipio","Municipality",NA,NA
13,70,"SLV","El Salvador",2,"Cabañas",13,"Cinquera","Municipio","Municipality",NA,NA
14,70,"SLV","El Salvador",2,"Cabañas",14,"Dolores","Municipio","Municipality",NA,NA
15,70,"SLV","El Salvador",2,"Cabañas",15,"Guacotecti","Municipio","Municipality",NA,NA
16,70,"SLV","El Salvador",2,"Cabañas",16,"Ilobasco","Municipio","Municipality",NA,NA
17,70,"SLV","El Salvador",2,"Cabañas",17,"Jutiapa","Municipio","Municipality",NA,NA
18,70,"SLV","El Salvador",2,"Cabañas",18,"San Isidro","Municipio","Municipality",NA,NA
19,70,"SLV","El Salvador",2,"Cabañas",19,"Sensuntepeque","Municipio","Municipality",NA,NA
20,70,"SLV","El Salvador",2,"Cabañas",20,"Tejutepeque","Municipio","Municipality",NA,NA
21,70,"SLV","El Salvador",2,"Cabañas",21,"Victoria","Municipio","Municipality",NA,NA
22,70,"SLV","El Salvador",3,"Chalatenango",22,"Agua Caliente","Municipio","Municipality",NA,NA
23,70,"SLV","El Salvador",3,"Chalatenango",23,"Arcatao","Municipio","Municipality",NA,NA
24,70,"SLV","El Salvador",3,"Chalatenango",24,"Azacualpa","Municipio","Municipality",NA,NA
25,70,"SLV","El Salvador",3,"Chalatenango",25,"Chalatenango","Municipio","Municipality",NA,NA
26,70,"SLV","El Salvador",3,"Chalatenango",26,"Citalá","Municipio","Municipality",NA,NA
27,70,"SLV","El Salvador",3,"Chalatenango",27,"Comalapa","Municipio","Municipality",NA,NA
28,70,"SLV","El Salvador",3,"Chalatenango",28,"Concepción Quezaltepeque","Municipio","Municipality",NA,NA
29,70,"SLV","El Salvador",3,"Chalatenango",29,"Dulce Nombre de María","Municipio","Municipality",NA,NA
30,70,"SLV","El Salvador",3,"Chalatenango",30,"El Carrizal","Municipio","Municipality",NA,NA
